company_size,count,ratio
20,83,0.10414053
21,77,0.09661230
22,77,0.09661230
23,76,0.09535759
24,76,0.09535759
25,60,0.07528231
26,46,0.05771644
27,40,0.05018821
28,35,0.04391468
29,26,0.03262233
30,24,0.03011292
31,20,0.02509410
32,16,0.02007528
33,15,0.01882058
34,13,0.01631117
35,11,0.01380176
36,11,0.01380176
37,10,0.01254705
38,10,0.01254705
39,9,0.01129235
40,9,0.01129235
41,9,0.01129235
42,8,0.01003764
43,8,0.01003764
44,7,0.00878294
45,6,0.00752823
46,5,0.00627353
47,4,0.00501882
48,4,0.00501882
49,2,0.00250941
