teaor,workers,generated_workers,abs_diff,rel_diff
84,324859.0,44308.0,-280551.0,-0.8636085193884115
85,284269.0,136987.0,-147282.0,-0.5181078485518997
47,279360.0,236876.0,-42484.0,-0.15207617411225657
86,176077.0,82441.0,-93636.0,-0.5317900691174884
46,175442.0,133931.0,-41511.0,-0.23660810980266983
49,135019.0,60225.0,-74794.0,-0.5539516660618136
56,122110.0,87669.0,-34441.0,-0.28204897223814596
43,116558.0,214435.0,97877.0,0.839727860807495
29,99409.0,8465.0,-90944.0,-0.9148467442585682
10,89260.0,17242.0,-72018.0,-0.8068339681828367
25,82512.0,329935.0,247423.0,2.998630502229979
62,81721.0,102346.0,20625.0,0.25238310838095473
41,81663.0,56268.0,-25395.0,-0.3109731457330737
1,76541.0,152372.0,75831.0,0.9907239257391464
78,71133.0,19561.0,-51572.0,-0.7250080834493132
45,69675.0,63416.0,-6259.0,-0.08983135988518119
81,64482.0,51576.0,-12906.0,-0.20014887875686238
52,62427.0,12771.0,-49656.0,-0.7954250564659522
28,61049.0,60653.0,-396.0,-0.006486592736981768
69,58192.0,95793.0,37601.0,0.6461541105306572
22,56890.0,38035.0,-18855.0,-0.33142907365090524
88,55751.0,5848.0,-49903.0,-0.8951050205377482
27,54711.0,12972.0,-41739.0,-0.7628995997148654
68,52060.0,74702.0,22642.0,0.4349212447176335
87,49865.0,3152.0,-46713.0,-0.9367893311942244
64,49736.0,9783.0,-39953.0,-0.8033014315586295
26,48252.0,20557.0,-27695.0,-0.5739658459752963
71,47470.0,34211.0,-13259.0,-0.2793132504739836
70,45381.0,88265.0,42884.0,0.9449769727418964
42,40964.0,16769.0,-24195.0,-0.5906405624450737
82,38998.0,50463.0,11465.0,0.29398943535565925
80,38974.0,17955.0,-21019.0,-0.5393082567865757
94,36668.0,11131.0,-25537.0,-0.6964383113341333
53,32847.0,18865.0,-13982.0,-0.4256705330776022
55,28907.0,16290.0,-12617.0,-0.4364686754073408
93,27840.0,17969.0,-9871.0,-0.3545617816091954
35,27366.0,890.0,-26476.0,-0.9674778922750858
23,25859.0,54295.0,28436.0,1.0996558258246645
72,24207.0,9846.0,-14361.0,-0.593258148469451
32,23270.0,257452.0,234182.0,10.063687150837989
33,22264.0,284933.0,262669.0,11.797924901185771
90,19864.0,34136.0,14272.0,0.7184857027788965
38,19318.0,390.0,-18928.0,-0.9798115746971736
96,19036.0,110994.0,91958.0,4.830741752469006
21,18569.0,0.0,-18569.0,-1.0
17,18493.0,2155.0,-16338.0,-0.8834694208619478
14,18139.0,3295.0,-14844.0,-0.8183472076740724
31,18080.0,125981.0,107901.0,5.967975663716814
20,17012.0,1790.0,-15222.0,-0.8947801551845755
61,16997.0,804.0,-16193.0,-0.9526975348590928
18,16362.0,16632.0,270.0,0.0165016501650165
16,16317.0,49208.0,32891.0,2.015750444321873
24,16125.0,743.0,-15382.0,-0.953922480620155
36,15661.0,0.0,-15661.0,-1.0
74,14857.0,56255.0,41398.0,2.786430638756142
91,14191.0,287.0,-13904.0,-0.9797759143118878
66,14056.0,41312.0,27256.0,1.9391007398975526
73,12913.0,19755.0,6842.0,0.5298536358708279
11,12348.0,1742.0,-10606.0,-0.8589245221898283
63,11752.0,10481.0,-1271.0,-0.10815180394826412
58,11537.0,5940.0,-5597.0,-0.48513478373927366
2,9952.0,3902.0,-6050.0,-0.6079180064308681
30,9595.0,5006.0,-4589.0,-0.47826993225638353
77,9308.0,7770.0,-1538.0,-0.16523420713364848
15,8368.0,264.0,-8104.0,-0.9684512428298279
65,8182.0,1078.0,-7104.0,-0.868247372280616
13,8119.0,1316.0,-6803.0,-0.8379110727922158
37,5655.0,159.0,-5496.0,-0.9718832891246685
19,5501.0,0.0,-5501.0,-1.0
95,5326.0,11521.0,6195.0,1.163161847540368
59,4967.0,14408.0,9441.0,1.9007449164485606
60,4619.0,583.0,-4036.0,-0.8737822039402469
92,4128.0,323.0,-3805.0,-0.9217538759689923
79,3385.0,3501.0,116.0,0.03426883308714919
75,2977.0,1653.0,-1324.0,-0.44474302989586834
8,2890.0,12.0,-2878.0,-0.995847750865052
12,1364.0,0.0,-1364.0,-1.0
51,1357.0,36.0,-1321.0,-0.9734708916728076
3,1068.0,11.0,-1057.0,-0.9897003745318352
50,735.0,56.0,-679.0,-0.9238095238095239
39,606.0,0.0,-606.0,-1.0
5,57.0,0.0,-57.0,-1.0
